,0,1,2
11479,carbinoxamine,hemangioma,colony stimulating factor 1 receptor
11480,alectinib,acute lymphoblastic leukemia,integrin subunit alpha l
11481,triazolam,polycystic ovary syndrome,dual specificity tyrosine phosphorylation regulated kinase 1b
11482,colchicine,gastric cancer,sodium voltage-gated channel alpha subunit 10
11483,pregabalin,autoimmune hemolytic anemia,cytidine deaminase
11484,cephalotaxine,shock,"major histocompatibility complex, class i, a"
11485,paracetamol,pulmonary valve atresia,gamma-aminobutyric acid type a receptor subunit gamma3
11486,thioguanine,premature ejaculation,dipeptidyl peptidase 8
11487,frovatriptan,anogenital human papillomavirus infection,solute carrier family 5 member 2
11488,moclobemide,ovarian cancer,sex hormone binding globulin
11489,phentermine,perennial allergic rhinitis,gamma-aminobutyric acid type a receptor subunit alpha2
11490,montelukast,vulvovaginal candidiasis,sodium voltage-gated channel alpha subunit 10
11491,midodrine,tetany,neurotrophic receptor tyrosine kinase 2
11492,nintedanib,angioedema,vitamin k epoxide reductase complex subunit 1
11493,lifitegrast,pulmonary embolism,bcl2 like 1
11494,imatinib,anterior uveitis,thyroid peroxidase
11495,terfenadine,tendinopathy,dipeptidyl peptidase 4
11496,lornoxicam,angle-closure glaucoma,hyperpolarization activated cyclic nucleotide gated potassium channel 1
11497,megestrol,tardive dyskinesia,homeodomain interacting protein kinase 1
11498,proguanil,arthritic joint disease,potassium voltage-gated channel modifier subfamily v member 1
11499,chlorpropamide,pruritus ani,fatty acid amide hydrolase
11500,fluticasone,iritis,fms related receptor tyrosine kinase 4
11501,indacaterol,postoperative nausea and vomiting,cdc like kinase 2
11502,dipivefrine,aspiration pneumonitis,potassium calcium-activated channel subfamily m alpha 1
11503,indomethacin,pulmonary embolism,toll like receptor 4
11504,baricitinib,spasticity,salt inducible kinase 1
11505,bimatoprost,trigeminal neuralgia,cholinergic receptor nicotinic alpha 3 subunit
11506,bupivacaine,polymyalgia rheumatica,hydroxycarboxylic acid receptor 3
11507,eletriptan,alcohol dependence,melatonin receptor 1b
11508,cetirizine,frozen shoulder,"met proto-oncogene, receptor tyrosine kinase"
11509,tetrabenazine,bronchial disorder,metabolism of cobalamin associated a
11510,daunorubicin,dyspnea,gamma-aminobutyric acid type a receptor subunit gamma2
11511,phenobarbital,common wart,serpin family c member 1
11512,bazedoxifene,pulmonary cystic fibrosis,bmx non-receptor tyrosine kinase
11513,nicardipine,breast cancer,growth hormone releasing hormone receptor
11514,linagliptin,pancreatic insulinoma,riboflavin kinase
11515,pilocarpine,sympathetic ophthalmia,somatostatin receptor 3
11516,montelukast,osteoporosis,cart prepropeptide
11517,maprotiline,anxiety,histone deacetylase 4
11518,propafenone,multiple sclerosis,cf transmembrane conductance regulator
11519,mesalazine,diabetic kidney disease,uridine monophosphate synthetase
11520,carbimazole,"dermatitis, atopic",unc-51 like autophagy activating kinase 1
11521,cetirizine,ascariasis,solute carrier family 27 member 2
11522,gliquidone,lymphangioma,g protein-coupled receptor 35
11523,pimecrolimus,psychotic disorder,solute carrier family 27 member 2
11524,dimenhydrinate,erythema multiforme,potassium voltage-gated channel modifier subfamily g member 4
11525,blonanserin,gastric cancer,calcium voltage-gated channel auxiliary subunit gamma 1
11526,acarbose,small intestine cancer,metallothionein 2a
11527,rizatriptan,sjogren syndrome,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/imp cyclohydrolase
11528,cycrimine,sarcoidosis,cytochrome p450 family 2 subfamily c member 19
11529,ifosfamide,psoriasis,integrin subunit beta 3
11530,auranofin,acquired thrombocytopenia,"pim-2 proto-oncogene, serine/threonine kinase"
11531,dapagliflozin,insomnia,nuclear receptor subfamily 5 group a member 1
11532,nadolol,urticaria,potassium voltage-gated channel modifier subfamily s member 2
11533,salicylic acid,gaucher disease,thyroid hormone receptor beta
11534,aminobenzoic acid,dermatophytosis of groin and perianal area,cholinergic receptor nicotinic beta 2 subunit
11535,amobarbital,necrobiosis lipoidica,potassium voltage-gated channel subfamily h member 5
11536,alimemazine,alzheimer disease,calreticulin
11537,orphenadrine,lennox-gastaut syndrome,phosphodiesterase 3a
11538,enzalutamide,arthritic joint disease,atp binding cassette subfamily c member 9
11539,bethanechol,epilepsy with generalized tonic-clonic seizures,interleukin 6 receptor
11540,carbidopa,iridocyclitis,prostaglandin f receptor
11541,mometasone,waldenstrom macroglobulinemia,potassium voltage-gated channel subfamily q member 5
11542,ranitidine,epilepsy,peptidylprolyl isomerase b
11543,vincristine,nocturnal enuresis,metabolism of cobalamin associated b
11544,triiodothyronine,bruxism,adenosine a1 receptor
11545,propafenone,mature t-cell and nk-cell non-hodgkin lymphoma,fkbp prolyl isomerase 1b
11546,felodipine,b-cell chronic lymphocytic leukemia,histone deacetylase 3
11547,prilocaine,tyrosinemia,"kras proto-oncogene, gtpase"
11548,apalutamide,rheumatoid arthritis,fatty acid binding protein 2
11549,bunolol,inappropriate adh syndrome,c-c motif chemokine receptor 1
11550,liraglutide,gestational trophoblastic neoplasm,cytochrome p450 family 1 subfamily b member 1
11551,montelukast,chronic hepatitis c virus infection,amine oxidase copper containing 3
11552,methamphetamine,thromboembolism,serine/threonine kinase 33
11553,zolpidem,seasonal allergic rhinitis,atp binding cassette subfamily c member 9
11554,phenytoin,islet cell adenomatosis,"protein phosphatase 3 regulatory subunit b, alpha"
11555,naloxone,corneal ulcer,glutamic-oxaloacetic transaminase 1
11556,moxonidine,small cell lung carcinoma,peptidylprolyl isomerase d
11557,lidocaine,small intestine cancer,serine/threonine kinase 25
11558,pethidine,familial dermatographia,farnesyl diphosphate synthase
11559,insulin degludec,"cicatrix, hypertrophic",potassium voltage-gated channel modifier subfamily g member 3
11560,pirfenidone,gaucher disease,tubulin beta 2a class iia
11561,rimonabant,polyuria,potassium inwardly rectifying channel subfamily j member 11
11562,gemtuzumab ozogamicin,motion sickness,adrenoceptor alpha 2c
11563,estrone sulphate,glioma,"peptidylprolyl cis/trans isomerase, nima-interacting 1"
11564,acamprosate,frozen shoulder,potassium voltage-gated channel subfamily b member 1
11565,parathyroid hormone,hyperphenylalaninemia due to tetrahydrobiopterin deficiency,eph receptor b6
11566,regorafenib,lung neoplasm,angiotensin ii receptor type 2
11567,eletriptan,acquired thrombocytopenia,solute carrier family 25 member 5
11568,biotin,motion sickness,protein kinase n1
11569,ergotamine,vitiligo,hyperpolarization activated cyclic nucleotide gated potassium channel 1
11570,mupirocin,eosinophilic pneumonia,acetyl-coa acyltransferase 2
11571,cilastatin,myasthenia gravis,gc vitamin d binding protein
11572,tretinoin,scalp dermatosis,prostaglandin f receptor
11573,tranexamic acid,amyotrophic lateral sclerosis,mitogen-activated protein kinase kinase kinase 9
11574,nitric oxide,scleroderma,calcium voltage-gated channel subunit alpha1 f
11575,captodiame,pyoderma gangrenosum,potassium voltage-gated channel modifier subfamily s member 1
11576,tiaprofenic acid,thyroiditis,tyrosine kinase non receptor 1
11577,tipiracil,relapsing-remitting multiple sclerosis,glucose-6-phosphate dehydrogenase
11578,raloxifene,polymyalgia rheumatica,synuclein alpha
11579,triflupromazine,asthma-chronic obstructive pulmonary disease overlap syndrome,sodium voltage-gated channel alpha subunit 10
11580,mercaptopurine,malignant hyperthermia of anesthesia,serine/threonine kinase 10
11581,medroxyprogesterone,acute promyelocytic leukemia,neurotrophic receptor tyrosine kinase 1
11582,clocortolone pivalate,migraine disorder,phosphodiesterase 3a
11583,rimonabant,neuralgia,sphingomyelin phosphodiesterase 1
11584,apomorphine,interstitial lung disease 2,carbonic anhydrase 1
11585,sofalcone,mycosis fungoides,acid sensing ion channel subunit 1
11586,ziprasidone,thyroid gland papillary carcinoma,histone deacetylase 1
11587,mitoxantrone,essential thrombocythemia,homeodomain interacting protein kinase 4
11588,midostaurin,lung neoplasm,bradykinin receptor b2
11589,perindopril,malignant glioma,tubulin gamma 1
11590,pexidartinib,idiopathic acute eosinophilic pneumonia,activin a receptor type 1
11591,gemtuzumab ozogamicin,small cell lung carcinoma,atp binding cassette subfamily c member 8
11592,terfenadine,oppositional defiant disorder,death associated protein kinase 2
11593,icotinib,lichen planus,toll like receptor 4
11594,celecoxib,ornithine carbamoyltransferase deficiency,"blk proto-oncogene, src family tyrosine kinase"
11595,raltegravir,frozen shoulder,adenosine a2b receptor
11596,tramadol,psychologic dyspareunia,atpase copper transporting beta
11597,letrozole,seasonal affective disorder,7-dehydrocholesterol reductase
11598,chlorpropamide,seasonal allergic rhinitis,glutamate ionotropic receptor ampa type subunit 3
11599,pindolol,tetanus,vascular endothelial growth factor a
11600,dronedarone,menorrhagia,solute carrier family 5 member 2
11601,cabozantinib,cardiac arrest,solute carrier family 27 member 2
11602,clobazam,anaphylaxis,septin 9
11603,imrecoxib,tension-type headache,homeodomain interacting protein kinase 1
11604,bisoprolol,malaria,4-hydroxyphenylpyruvate dioxygenase
11605,trilostane,breast ductal adenocarcinoma,adrenoceptor alpha 2b
11606,ephedrine,aplastic anemia,mitogen-activated protein kinase kinase 2
11607,acrivastine,male infertility,phosphodiesterase 3a
11608,nilotinib,marginal zone lymphoma,cytochrome p450 family 1 subfamily b member 1
11609,cisplatin,irritable bowel syndrome,colony stimulating factor 1 receptor
11610,diclofenamide,manic bipolar affective disorder,neuropeptide y
11611,diazepam,drooling,carbonic anhydrase 1
11612,diazoxide,acute lymphoblastic leukemia,bone gamma-carboxyglutamate protein
11613,verapamil,vascular disorder,potassium voltage-gated channel modifier subfamily f member 1
11614,levomethadyl acetate,gastrointestinal stromal tumor,atpase na+/k+ transporting subunit beta 3
11615,loxoprofen,type 2 diabetes mellitus,glutamate ionotropic receptor nmda type subunit 2c
11616,edoxaban,dementia,dual specificity tyrosine phosphorylation regulated kinase 2
11617,tulobuterol,invasive ductal breast carcinoma,retinoid x receptor gamma
11618,methdilazine,endometrium neoplasm,dipeptidase 1
11619,armodafinil,myasthenia gravis,galactosidase alpha
11620,lovastatin,arthropathy,matrix metallopeptidase 2
11621,buclizine,rheumatoid arthritis,acetyl-coa acyltransferase 2
11622,tolbutamide,arthropathy,prostaglandin-endoperoxide synthase 2
11623,betahistine,aspiration pneumonitis,histone deacetylase 7
11624,azelnidipine,peptic esophagitis,"kit proto-oncogene, receptor tyrosine kinase"
11625,cetirizine,psychotic disorder,retinoid x receptor gamma
11626,n-methyl scopolamine,male infertility,glutathione s-transferase mu 1
11627,epa,fever,tankyrase 2
11628,phendimetrazine,thyroid gland follicular carcinoma,solute carrier family 22 member 1
11629,atropine,respiratory failure,solute carrier family 18 member a2
11630,mestranol,bruxism,calcium voltage-gated channel auxiliary subunit gamma 1
11631,roxatidine acetate,restless legs syndrome,srsf protein kinase 3
11632,benoxaprofen,major depressive disorder,metabolism of cobalamin associated b
11633,pamidronic acid,respiratory failure,potassium voltage-gated channel subfamily c member 3
11634,ipragliflozin,headache disorder,cytochrome p450 family 46 subfamily a member 1
11635,caffeine,hyperthyroidism,txk tyrosine kinase
11636,trabectedin,peptic esophagitis,guanylate cyclase 1 soluble subunit alpha 1
11637,chlorcyclizine,metrorrhagia,retinoic acid receptor alpha
11638,rasagiline,melanoma,txk tyrosine kinase
11639,apalutamide,chronic obstructive pulmonary disease,mitogen-activated protein kinase kinase kinase kinase 1
11640,eszopiclone,raynaud disease,myeloperoxidase
11641,sotalol,intrinsic asthma,cf transmembrane conductance regulator
11642,propafenone,wilms tumor,glutamate ionotropic receptor nmda type subunit 2a
11643,fsh,chronic bronchitis,tankyrase 2
11644,reproterol,thyroid gland carcinoma,fms related receptor tyrosine kinase 1
11645,indacaterol,polymyalgia rheumatica,il2 inducible t cell kinase
11646,cyproheptadine,hyperaldosteronism,potassium two pore domain channel subfamily k member 3
11647,magnesium salicylate,scleroderma,carnitine palmitoyltransferase 1a
11648,fludroxycortide,mydriasis,angiotensin i converting enzyme
11649,clocortolone pivalate,primary cutaneous t-cell non-hodgkin lymphoma,synuclein alpha
11650,raltegravir,vitamin d deficiency,lipoprotein lipase
11651,ranitidine,trichuriasis,glutamate ionotropic receptor kainate type subunit 1
11652,pazopanib,enterocolitis,dead-box helicase 3 x-linked
11653,omarigliptin,bipolar disorder,prostaglandin e receptor 2
11654,piroxicam,west syndrome,ribosomal protein s6 kinase a1
11655,miconazole,renal cell carcinoma,phospholipase a2 group iva
11656,salsalate,epicondylitis,matrix metallopeptidase 9
11657,doxylamine,bacterial conjunctivitis,insulin receptor
11658,milnacipran,otitis externa,bcl2 like 1
11659,baricitinib,delayed puberty,cytochrome p450 family 2 subfamily c member 19
11660,thioguanine,abdominal abscess,phosphodiesterase 4b
11661,pregabalin,diabetes mellitus,cannabinoid receptor 2
11662,idelalisib,keratitis,ndufa4 mitochondrial complex associated like 2
11663,fluorometholone,zollinger-ellison syndrome,potassium inwardly rectifying channel subfamily j member 11
11664,ibandronic acid,gastroesophageal reflux disease,cyclin dependent kinase 14
11665,oxytocin,"malignant hyperthermia, susceptibility to, 1","yes proto-oncogene 1, src family tyrosine kinase"
11666,tranylcypromine,myotonic syndrome,lipoprotein lipase
11667,balsalazide,actinic keratosis,phosphodiesterase 4d
11668,vinorelbine,abdominal abscess,aldo-keto reductase family 1 member c1
11669,perazine,nicotine dependence,"peptidylprolyl cis/trans isomerase, nima-interacting 1"
11670,bexarotene,intracranial embolism,txk tyrosine kinase
11671,tamoxifen,hodgkins lymphoma,acid sensing ion channel subunit 1
11672,haloperidol,perennial allergic rhinitis,retinoid x receptor alpha
11673,naproxen,pain,gamma-aminobutyric acid type a receptor subunit beta1
11674,fsh,proctitis,histone deacetylase 5
11675,luseogliflozin,enterocolitis,cytochrome p450 family 11 subfamily b member 2
11676,isopropamide,eunuchism,calcium voltage-gated channel subunit alpha1 i
11677,medroxyprogesterone,nocturnal enuresis,histone deacetylase 8
11678,sofalcone,diffuse large b-cell lymphoma,iodothyronine deiodinase 1
11679,dimenhydrinate,congenital hypothyroidism,vascular cell adhesion molecule 1
11680,bunolol,bacterial meningitis,5-hydroxytryptamine receptor 2a
11681,nizatidine,dermatitis herpetiformis,5-hydroxytryptamine receptor 3c
11682,vorinostat,brain glioblastoma,calcium voltage-gated channel subunit alpha1 f
11683,bupropion,post-operative pain,potassium voltage-gated channel subfamily c member 1
11684,tacrolimus,prader-willi syndrome,metabolism of cobalamin associated b
11685,naloxone,pulmonary fibrosis,cholinergic receptor nicotinic alpha 3 subunit
11686,levobetaxolol,urethritis,kelch like ech associated protein 1
11687,salicylic acid,pancreatic insulinoma,melatonin receptor 1a
11688,ethosuximide,essential hypertension,cytochrome p450 family 27 subfamily a member 1
11689,glymidine,acromegaly,platelet derived growth factor receptor alpha
11690,gemcitabine,xerophthalmia,nuclear receptor subfamily 3 group c member 2
11691,felbamate,angina pectoris,acyl-coa oxidase 1
11692,mestranol,onchocerciasis,myosin light chain kinase family member 4
11693,bimatoprost,scleroderma,phosphodiesterase 4b
11694,vilanterol,blepharoconjunctivitis,protein tyrosine kinase 2 beta
11695,cabergoline,thromboangiitis obliterans,serine/threonine kinase 33
11696,ziprasidone,interstitial lung disease,tumor necrosis factor
11697,dapoxetine,bipolar disorder,mitogen-activated protein kinase kinase kinase 20
11698,pamidronic acid,toothache,potassium voltage-gated channel subfamily a member 10
11699,rimexolone,male infertility,phosphodiesterase 4a
11700,morphine,myocardial infarction,aldo-keto reductase family 1 member c1
11701,lorazepam,acute gonococcal endometritis,solute carrier family 6 member 1
11702,insulin lispro,synovitis,"met proto-oncogene, receptor tyrosine kinase"
11703,toloxatone,west syndrome,mitogen-activated protein kinase kinase kinase 11
11704,pioglitazone,postmenopausal osteoporosis,geranylgeranyl diphosphate synthase 1
11705,ethacrynic acid,labor pain,sphingosine-1-phosphate receptor 4
11706,dimethyl fumarate,amyotrophic lateral sclerosis,cdc like kinase 4
11707,pemetrexed,liver cancer,phosphoribosyl pyrophosphate amidotransferase
11708,pilocarpine,vernal conjunctivitis,solute carrier organic anion transporter family member 1a2
11709,desvenlafaxine,rhinoscleroma,amylase alpha 1b
11710,methyclothiazide,waldenstrom macroglobulinemia,cereblon
11711,aminosalicylic acid,keratitis,potassium voltage-gated channel subfamily q member 1
11712,romidepsin,allergic bronchopulmonary aspergillosis,"smoothened, frizzled class receptor"
11713,dihydrotachysterol,brain cancer,n-acetyltransferase 2
11714,stanozolol,insomnia,solute carrier family 9 member a1
11715,dehydroepiandrosterone,interstitial lung disease 2,calcium voltage-gated channel subunit alpha1 a
11716,dibucaine,hypertensive disorder,tubulin gamma 1
11717,aceclofenac,chronic myelomonocytic leukemia,sodium voltage-gated channel alpha subunit 1
11718,mitiglinide,diamond-blackfan anemia,cholinergic receptor muscarinic 2
11719,olmesartan,open-angle glaucoma,melanocortin 1 receptor
11720,rofecoxib,hypertrophic cardiomyopathy,cholinergic receptor muscarinic 3
11721,radotinib,holocarboxylase synthetase deficiency,retinoic acid receptor beta
11722,ixazomib,thrombocytopenia,cholinergic receptor nicotinic alpha 4 subunit
11723,tafamidis,myocardial infarction,acyl-coa dehydrogenase short/branched chain
11724,ziprasidone,"dermatitis, atopic",atp binding cassette subfamily c member 3
11725,midostaurin,diffuse large b-cell lymphoma,thromboxane a2 receptor
11726,propranolol,homozygous familial hypercholesterolemia,histone deacetylase 7
11727,olodaterol,endemic goiter,maltase-glucoamylase
11728,clofazimine,myxedema,phosphodiesterase 3a
11729,amlodipine,hypoalphalipoproteinemia,potassium voltage-gated channel subfamily c member 1
11730,prednisolone,chronic schizophrenia,tek receptor tyrosine kinase
11731,amiodarone,renal osteodystrophy,cdc like kinase 4
11732,fluvastatin,lewy body dementia,monoamine oxidase a
11733,isosorbide dinitrate,thyroid gland carcinoma,sodium voltage-gated channel alpha subunit 4
11734,cyclobenzaprine,pellagra,histone deacetylase 3
11735,isoprenaline,"dermatitis, atopic",dopamine beta-hydroxylase
11736,lofepramine,proctitis,unc-51 like kinase 3
11737,acarbose,pulmonary artery stenosis,estrogen related receptor beta
11738,fludarabine,malignant hyperthermia of anesthesia,proteasome 20s subunit beta 10
11739,vilanterol,anogenital human papillomavirus infection,natriuretic peptide receptor 1
11740,benoxaprofen,neuralgia,ndufa4 mitochondrial complex associated like 2
11741,venetoclax,primary myelofibrosis,"tu translation elongation factor, mitochondrial"
11742,mometasone,idiopathic hypereosinophilic syndrome,potassium voltage-gated channel subfamily h member 4
11743,epirubicin,hyponatremia,dual specificity tyrosine phosphorylation regulated kinase 1b
11744,risedronate,hyperprolactinemia,atpase na+/k+ transporting subunit alpha 3
11745,ofatumumab,pemphigus,phosphodiesterase 6a
11746,indacaterol,huntington disease,solute carrier family 47 member 2
11747,pioglitazone,familial mediterranean fever,prostaglandin f receptor
11748,lidocaine,erectile dysfunction,glucosidase ii alpha subunit
11749,duloxetine,acute gonococcal cervicitis,nuclear receptor subfamily 5 group a member 1
11750,oxazepam,b-cell chronic lymphocytic leukemia,5-hydroxytryptamine receptor 1d
11751,acarbose,cardiac arrest,interleukin 1 receptor associated kinase 1
11752,liraglutide,psychotic disorder,aurora kinase b
11753,eszopiclone,invasive ductal breast carcinoma,cytochrome p450 family 2 subfamily c member 9
11754,defibrotide,amenorrhea,colony stimulating factor 1 receptor
11755,acth,bronchitis,potassium two pore domain channel subfamily k member 2
11756,amphetamine,granuloma annulare,phospholipase a2 group ib
11757,valrubicin,colonic neoplasm,phosphorylase kinase catalytic subunit gamma 1
11758,pethidine,breast carcinoma,bub1 mitotic checkpoint serine/threonine kinase
11759,sulpiride,cough,platelet derived growth factor receptor alpha
11760,fexofenadine,vitamin b12 deficiency,potassium voltage-gated channel subfamily q member 1
11761,risperidone,"chronic myelogenous leukemia, bcr-abl1 positive",cholinergic receptor nicotinic beta 2 subunit
11762,pemirolast,hyperparathyroidism,cholinergic receptor nicotinic alpha 7 subunit
11763,dipivefrine,biotinidase deficiency,mitogen-activated protein kinase kinase 2
11764,nilotinib,influenza,"met proto-oncogene, receptor tyrosine kinase"
11765,propantheline,medullary thyroid gland carcinoma,"kras proto-oncogene, gtpase"
11766,desogestrel,basal ganglia disorder,caspase 1
11767,diclofenamide,"attention deficit hyperactivity disorder, inattentive type",solute carrier family 5 member 4
11768,fludarabine,miliary tuberculosis,homeodomain interacting protein kinase 2
11769,anagrelide,hypocalcemia,dna topoisomerase i mitochondrial
11770,l-glutamine,peptic ulcer disease,cyclin g associated kinase
11771,ceritinib,sickle cell anemia,potassium voltage-gated channel subfamily c member 4
11772,bethanechol,torsades de pointes,calmodulin 2
11773,propantheline,graves disease,leukotriene a4 hydrolase
11774,mosapramine,chronic beryllium disease,potassium voltage-gated channel subfamily c member 2
11775,trabectedin,hypertrichosis of eyelid,mapk interacting serine/threonine kinase 2
11776,bepotastine,bacterial pneumonia,acyl-coa synthetase long chain family member 5
11777,armodafinil,hyperlipidemia,phosphodiesterase 10a
11778,quetiapine,acute promyelocytic leukemia,mechanistic target of rapamycin kinase
11779,obinutuzumab,abdominal abscess,potassium voltage-gated channel subfamily b member 1
11780,trimetaphan,pellagra,adenosine a2b receptor
11781,dexlansoprazole,methylmalonic acidemia,carbonic anhydrase 13
11782,tolmetin,wilms tumor,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2"
11783,isotretinoin,pityriasis versicolor,low density lipoprotein receptor
11784,sonidegib,bacterial conjunctivitis,serine/threonine kinase 17a
11785,lovastatin,acidosis disorder,cytochrome p450 family 27 subfamily a member 1
11786,fludroxycortide,scleroderma,"protein phosphatase 3 regulatory subunit b, alpha"
11787,bretylium,thyroid tumor,phenylalanine hydroxylase
11788,trimethadione,motion sickness,glutathione-disulfide reductase
11789,paclitaxel,phenylketonuria,fms related receptor tyrosine kinase 3
11790,amobarbital,bronchial disorder,potassium voltage-gated channel subfamily a member 1
11791,febuxostat,mydriasis,neurotensin receptor 2
11792,avanafil,pyelonephritis,transthyretin
11793,probenecid,kaposi's sarcoma,solute carrier family 22 member 8
11794,nizatidine,epicondylitis,cysteinyl leukotriene receptor 1
11795,meclofenamic acid,pancreatic insulinoma,adenosine deaminase
11796,olodaterol,leprosy,coagulation factor x
11797,pemirolast,chronic bronchitis,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"
11798,nefazodone,nicotine dependence,"protein phosphatase 3 regulatory subunit b, alpha"
11799,ketanserin,prostate neoplasm,atp binding cassette subfamily c member 3
11800,pirbuterol,delirium,"coagulation factor ii, thrombin"
11801,alfuzosin,alcohol dependence,colony stimulating factor 1 receptor
11802,phentermine,hot flashes,phosphodiesterase 8b
11803,ketorolac,attrv122i amyloidosis,homeodomain interacting protein kinase 4
11804,reproterol,lung neoplasm,npc1 like intracellular cholesterol transporter 1
11805,lasofoxifene,pulmonary cystic fibrosis,neuropeptide y receptor y1
11806,vincristine,anaphylaxis,5-hydroxytryptamine receptor 3c
11807,ergocalciferol,myalgia,alpha glucosidase
11808,ranitidine,anterior uveitis,s100 calcium binding protein p
11809,fsh,glaucoma,bruton tyrosine kinase
11810,rizatriptan,testicular cancer,potassium voltage-gated channel subfamily h member 6
11811,imiquimod,thyroiditis,proteasome 20s subunit beta 10
11812,calcium citrate,hereditary von willebrand disease,sodium channel epithelial 1 subunit gamma
11813,triazolam,anaphylaxis,apolipoprotein b
11814,pirenzepine,severe major depression with psychotic features,calcium/calmodulin dependent protein kinase ii alpha
11815,octreotide,rheumatoid arthritis,5-hydroxytryptamine receptor 4
11816,tolterodine,aorta coarctation,potassium inwardly rectifying channel subfamily j member 8
11817,danazol,cough,retinoic acid receptor gamma
11818,aceclofenac,arthropathy,cholesteryl ester transfer protein
11819,tolmetin,canker sore,"fyn proto-oncogene, src family tyrosine kinase"
11820,silodosin,autism spectrum disorder,phosphodiesterase 7b
11821,salbutamol,chronic beryllium disease,tankyrase 2
11822,anisotropine methylbromide,gastric cancer,steroid 5 alpha-reductase 1
11823,goserelin,pheochromocytoma,glucosidase ii alpha subunit
11824,eliglustat,x-linked dominant hypophosphatemic rickets,butyrylcholinesterase
11825,luseogliflozin,mast cell leukemia,calcium voltage-gated channel subunit alpha1 g
11826,simvastatin,glossopharyngeal neuralgia,somatostatin receptor 5
11827,progesterone,enterocolitis,adrenoceptor alpha 2c
11828,epirubicin,cluster headache syndrome,amylase alpha 2a
11829,diazoxide,post-operative pain,calcium/calmodulin dependent protein kinase ii alpha
11830,carmustine,open-angle glaucoma,receptor interacting serine/threonine kinase 3
11831,meclizine,pruritus,cd33 molecule
11832,dantrolene,ankylosing spondylitis,phosphodiesterase 4c
11833,bunazosin,osteoarthritis,atpase na+/k+ transporting subunit beta 1
11834,quinapril,acute monocytic leukemia,carbonic anhydrase 9
11835,"1,25-dihydroxyvitamin d3",erdheim-chester disease,5-hydroxytryptamine receptor 1b
11836,trichlormethiazide,invasive ductal breast carcinoma,atp binding cassette subfamily g member 5
11837,glibenclamide,sarcoidosis,"raf-1 proto-oncogene, serine/threonine kinase"
11838,paroxetine,gastrointestinal stromal tumor,calcium sensing receptor
11839,cabozantinib,hypothyroidism,potassium voltage-gated channel subfamily b member 1
11840,linaclotide,poisoning of animals with phosphate salts,melatonin receptor 1b
11841,cyproheptadine,angina pectoris,cholinergic receptor muscarinic 2
11842,migalastat,social phobia,cholinergic receptor nicotinic alpha 3 subunit
11843,estramustine,acne,isoleucyl-trna synthetase 1
11844,megestrol,fabry disease,dead-box helicase 3 x-linked
11845,blonanserin,burkitt lymphoma,natriuretic peptide receptor 1
11846,nabumetone,toothache,growth hormone receptor
11847,leuprolide,renal osteodystrophy,cytochrome p450 family 2 subfamily c member 9
11848,propranolol,generalized anxiety disorder,potassium voltage-gated channel modifier subfamily g member 4
11849,diclofenamide,familial dermatographia,aldo-keto reductase family 1 member c1
11850,bimatoprost,diabetes mellitus,sphingosine-1-phosphate receptor 1
11851,panobinostat,rickets,"tu translation elongation factor, mitochondrial"
11852,landiolol,duodenal ulcer,cholinergic receptor muscarinic 4
11853,oxaliplatin,aspiration pneumonitis,adrenoceptor alpha 2a
11854,nitrazepam,iridocyclitis,guanylate cyclase 1 soluble subunit alpha 1
11855,clofarabine,"hyperlipidemia, familial combined, lpl related",lipoprotein lipase
11856,epinastine,pulmonary eosinophilia,potassium inwardly rectifying channel subfamily j member 12
11857,alprazolam,ascites,aurora kinase b
11858,triazolam,epicondylitis,neurotrophic receptor tyrosine kinase 3
11859,carbachol,allergic rhinitis,solute carrier organic anion transporter family member 1b1
11860,armodafinil,psychosexual disorder,dead-box helicase 1
11861,miconazole,meniere disease,phosphodiesterase 4a
11862,gliquidone,meniere disease,cyclin dependent kinase 6
11863,crizotinib,chronic kidney disease,solute carrier family 6 member 1
11864,emedastine,cardiac arrest,cytochrome p450 family 3 subfamily a member 4
11865,cyclosporin a,polycystic ovary syndrome,"smoothened, frizzled class receptor"
11866,tazarotene,orthostatic hypotension,cyclin dependent kinase 8
11867,tiagabine,basal ganglia disorder,cytochrome p450 family 2 subfamily d member 6
11868,irbesartan,sebaceous adenoma,phosphodiesterase 6b
11869,amlodipine,"dermatitis, atopic",low density lipoprotein receptor
11870,ceritinib,oral mucosa leukoplakia,homeodomain interacting protein kinase 1
11871,buprenorphine,familial dermatographia,metallothionein 1a
11872,neostigmine,hypotensive disorder,glutathione-disulfide reductase
11873,cladribine,constipation disorder,glucose-6-phosphate dehydrogenase
11874,alclometasone dipropionate,vitiligo,prune exopolyphosphatase 1
11875,anagrelide,cycloplegia,eph receptor b2
11876,bezafibrate,respiratory failure,tubulin beta 4b class ivb
11877,imiquimod,endometrium neoplasm,isoleucyl-trna synthetase 1
11878,probenecid,hairy cell leukemia,glutamate ionotropic receptor kainate type subunit 2
11879,theophylline,disseminated intravascular coagulation,fibroblast growth factor receptor 1
11880,reboxetine,endometritis,sonic hedgehog signaling molecule
11881,methoxamine,hepatic veno-occlusive disease,ornithine transcarbamylase
